"replicate","temperature","control","chamber","date_offered_meat","date_larvae_transferred_to_treatment","date_first_pupa","species_first_emerged","date_first_emerged","species_second_emerged","date_second_emerged","final_number_observed_sericata","final_number_observed_vicina","number_in_ethanol_sericata","number_in_ethanol_vicina","number_missing_from_ethanol_sericata","number_missing_from_ethanol_vicina","number_sericata_males","number_sericata_females","number_vicina_males","number_vicina_females","average_body_length_males_lucilia","average_body_length_females_lucilia","average_body_length_males_vicina","average_body_length_females_vicina","Notes","Notes2"
"15°C-1",15,"treatment",1,"8.11.25","11.11.25","22.11.25","vicina","11.12.2025","sericata","20.12.2025",10,8,10,8,0,0,7,3,5,3,3.83,3.9,4.98,4.77,"falcon tubes",
"15°C-2",15,"treatment",1,"8.11.25","11.11.25","21.11.25","vicina","12.12.2025","sericata","18.12.2025",9,8,9,8,0,0,4,5,2,6,3.7,4.11,5.03,5.01,"falcon tubes","Only 2 vicina males used for body size average"
"15°C-3",15,"treatment",1,"8.11.25","11.11.25","22.11.25","vicina","09.12.2025","sericata","17.12.2025",10,9,10,9,0,0,4,6,6,3,3.55,3.62,4.66,4.88,"falcon tubes",
"15°C-4",15,"treatment",1,"8.11.25","11.11.25","22.11.25","vicina","10.12.2025","sericata","18.12.2025",8,8,8,8,0,0,4,4,5,3,2.93,3.95,4.71,5.03,"falcon tubes",
"15°C-5",15,"treatment",1,"8.11.25","11.11.25","21.11.25","vicina","10.12.2025","sericata","19.12.2025",8,9,8,9,0,0,3,5,4,5,2.96,3.41,4.59,4.7,"falcon tubes",
"15°C-6",15,"treatment",1,"8.11.25","11.11.25","20.11.25","vicina","10.12.2025","sericata","19.12.2025",10,8,10,8,0,0,6,4,6,2,4.01,4.13,4.83,4.86,"falcon tubes","Only 2 vicina females used for body size average"
"15°C-7",15,"treatment",1,"8.11.25","11.11.25","21.11.25","vicina","11.12.2025","sericata","18.12.2025",8,8,8,8,0,0,6,2,4,4,3.96,4.02,4.76,5.06,"falcon tubes","Only 2 sericata females used for average"
"19°C-1",19,"treatment",2,"8.11.25","11.11.25","19.11.25","both","02.12.2025","N/A","N/A",10,6,8,6,2,0,3,5,4,2,3.79,4.02,4.86,4.79,"falcon tubes","Only 2 vicina females used for body size average"
"19°C-2",19,"treatment",2,"8.11.25","11.11.25","19.11.25","both","03.12.2025","N/A","N/A",10,9,10,9,0,0,5,5,6,3,3.9,3.98,4.59,4.83,"falcon tubes",
"19°C-3",19,"treatment",2,"8.11.25","11.11.25","19.11.25","vicina","02.12.2025","sericata","03.12.2025",9,10,9,7,0,0,3,6,5,5,4.02,4.26,4.84,4.88,"falcon tubes",
"19°C-4",19,"treatment",2,"8.11.25","11.11.25","19.11.25","both","02.12.2025","N/A","N/A",9,9,9,9,0,0,3,6,5,4,4.08,4.22,4.91,4.87,"falcon tubes",
"19°C-5",19,"treatment",2,"8.11.25","11.11.25","19.11.25","both","02.12.2025","N/A","N/A",10,9,10,9,0,0,7,3,8,1,3.95,4.04,4.92,5.2,"falcon tubes","Only one vicina female used for body size average"
"19°C-6",19,"treatment",2,"8.11.25","11.11.25","19.11.25","sericata","02.12.2025","vicina","03.12.25",10,8,10,8,0,0,5,5,6,2,4.05,4.2,4.58,4.84,"falcon tubes","Only two vicina females used for body size average"
"19°C-7",19,"treatment",2,"8.11.25","11.11.25","19.11.25","sericata","02.12.2025","vicina","03.12.25",10,7,10,7,0,0,5,5,4,3,3.92,4.2,4.49,4.85,"falcon tubes",
"22°C-1",22,"treatment","insectarium","8.11.25","11.11.25","16.11.25","sericata","28.11.2025","vicina","29.11.25",7,8,7,8,0,0,2,5,3,5,4.17,4.33,4.83,4.94,"eppendorf tubes in box","Only two sericata males used for body size average"
"22°C-2",22,"treatment","insectarium","8.11.25","11.11.25","16.11.25","sericata","28.11.2025","vicina","29.11.25",9,3,9,3,0,0,4,5,2,1,4.27,4.37,5.01,5.36,"eppendorf tubes in box","Only two males and one female used for body size average"
"22°C-3",22,"treatment","insectarium","8.11.25","11.11.25","16.11.25","sericata","28.11.2025","vicina","29.11.25",9,5,9,0,0,0,5,4,3,2,4.15,4.4,4.94,5.03,"eppendorf tubes in box","Only two vicina females used for body size average"
"22°C-4",22,"treatment","insectarium","8.11.25","11.11.25","16.11.25","both","28.11.2025","N/A","N/A",7,6,7,6,0,0,4,3,3,3,4.1,4.53,4.88,4.07,"eppendorf tubes in box",
"22°C-5",22,"treatment","insectarium","8.11.25","11.11.25","16.11.25","vicina","27.11.2025","sericata","29.11.25",8,7,6,5,2,"2 (1 male 1 female)",7,1,2,5,4.29,4.54,4.93,5.03,"eppendorf tubes in box","Only 1 sericata female and 1 vicina male were used for body size average"
"22°C-7",22,"treatment","insectarium","8.11.25","11.11.25","16.11.25","both","28.11.2025","N/A","N/A",7,5,5,4,2,1,1,4,2,2,3.79,4.4,4.92,5.16,"eppendorf tubes in box","Only one sericata male, two vicina males and two vicina females used for body size average"
"LS10-22°C-1",22,"control","insectarium","8.11.25","11.11.25","16.11.25","sericata","29.11.2025","N/A","N/A",10,0,10,"N/A",0,"N/A",4,6,"N/A","N/A",4.01,4.46,"N/A","N/A","falcon tubes",
"LS10-22°C-2",22,"control","insectarium","8.11.25","11.11.25","16.11.25","sericata","29.11.2025","N/A","N/A",10,0,10,"N/A",0,"N/A",5,5,"N/A","N/A",3.79,4.1,"N/A","N/A","falcon tubes",
"LS10-22°C-3",22,"control","insectarium","8.11.25","11.11.25","16.11.25","sericata","30.11.2025","N/A","N/A",10,0,11,"N/A",0,"N/A",4,6,"N/A","N/A",3.8,4.05,"N/A","N/A","falcon tubes",
"LS10-22°C-4",22,"control","insectarium","8.11.25","11.11.25","16.11.25","sericata","29.11.2025","N/A","N/A",10,0,10,"N/A",4,"N/A",5,5,"N/A","N/A",3.77,4.06,"N/A","N/A","falcon tubes",
