replicate,treatment,lifetime_fecundity,proportion_larvae_surviving_to_adulthood,minimal_larval_duration,performance_index
15_sericata_R3,15ls,0,1,12,0.00
15_sericata_R4,15ls,0,0.8,12,0.00
15_sericata_R5,15ls,0,0.8,11,0.00
15_sericata_R6,15ls,0,1,10,0.00
15_vicina_R3,15cv,478,0.9,12,0.22
15_vicina_R5,15cv,502,0.9,11,0.24
15_vicina_R6,15cv,279,0.8,10,0.23
15_vicina_R7,15cv,912,0.8,11,0.26
19_sericata_R1,19ls,0,1,9,0.00
19_sericata_R2,19ls,112,1,9,0.23
19_sericata_R3,19ls,393,0.9,9,0.28
19_vicina_R2,19cv,2394,0.9,9,0.37
19_vicina_R3,19cv,579,1,9,0.31
19_vicina_R4,19cv,1134,0.9,9,0.33
25_sericata-1,25ls,1216,1,6,0.51
25_sericata-2,25ls,848,1,6,0.49
25_sericata-3,25ls,1804,1,6,0.54
25_sericata-4,25ls,978,0.9,6,0.49
25_vicina-1,25cv,183,0.4,6,0.31
22-R2_sericata,22ls,283,0.7,6,0.38
22-R3_sericata,22ls,0,0.9,6,0.00
22-R4_sericata,22ls,328,0.7,6,0.39
22-R7_sericata,22ls,0,0.7,6,0.00
22-R3_vicina,22cv,818,0.5,6,0.44
22-R4_vicina,22cv,495,0.6,6,0.41
22-R5_vicina,22cv,651,0.7,6,0.44
22-R7_vicina,22cv,0,0.5,6,0.00
