"ID","species","sex","location","thorax_length","cold/heat","coma_time","collection_date"
16,"Calliphora_vicina","F","Campus",4.018,"cold",399,"Dec, 2023"
4,"Calliphora_vicina","M","Campus",3.236,"cold",273,"Dec, 2023"
5,"Calliphora_vicina","M","Campus",3.29,"cold",461,"Dec, 2023"
8,"Calliphora_vicina","M","Campus",3.493,"cold",315,"Dec, 2023"
15,"Calliphora_vicina","M","Campus",3.574,"cold",341,"Dec, 2023"
"2025_2","Calliphora_vicina","F","Campus",4.92,"cold",4715,"Sep, 2025"
"2025_4","Calliphora_vicina","F","Campus",4.32,"cold",3820,"Sep, 2025"
"2025_7","Calliphora_vicina","F","Campus",5.21,"cold",1428,"Sep, 2025"
"2025_8","Calliphora_vicina","F","Campus",4.5,"cold",2165,"Sep, 2025"
"2025_9","Calliphora_vicina","F","Campus",4.89,"cold",2912,"Sep, 2025"
"2025_10","Calliphora_vicina","F","Campus",4.59,"cold",1603,"Sep, 2025"
"2025_12","Calliphora_vicina","F","Campus",5.25,"cold",2070,"Sep, 2025"
"2025_15","Calliphora_vicina","F","Campus",4.8,"cold",3835,"Sep, 2025"
"2025_16","Calliphora_vicina","F","Campus",4.76,"cold",2182,"Sep, 2025"
"2025_17","Calliphora_vicina","F","Campus",3.74,"cold",1017,"Sep, 2025"
"2025_18","Calliphora_vicina","F","Campus",4.46,"cold",1196,"Sep, 2025"
"2025_19","Calliphora_vicina","F","Campus",4.25,"cold",4088,"Sep, 2025"
"2025_20","Calliphora_vicina","F","Campus",5.11,"cold",1367,"Sep, 2025"
"2025_21","Calliphora_vicina","F","Campus",4.79,"cold",1301,"Sep, 2025"
"2025_27","Calliphora_vicina","F","Campus",3.26,"cold",1769,"Sep, 2025"
"2025_28","Calliphora_vicina","F","Campus",3.93,"cold",1881,"Sep, 2025"
"2025_29","Calliphora_vicina","F","Campus",3.61,"cold",1141,"Sep, 2025"
"2025_30","Calliphora_vicina","F","Campus",3.51,"cold",1446,"Sep, 2025"
"2025_32","Calliphora_vicina","F","Campus",4.2,"cold",932,"Sep, 2025"
"2025_33","Calliphora_vicina","F","Campus",4.01,"cold",1533,"Sep, 2025"
"2025_34","Calliphora_vicina","F","Campus",2.49,"cold",975,"Sep, 2025"
"2025_35","Calliphora_vicina","F","Campus",4.34,"cold",2025,"Sep, 2025"
"2025_37","Calliphora_vicina","F","Campus",4.47,"cold",1202,"Sep, 2025"
"2025_38","Calliphora_vicina","F","Campus",4.13,"cold",937,"Sep, 2025"
"2025_39","Calliphora_vicina","F","Campus",4.25,"cold",3233,"Sep, 2025"
"2025_1","Calliphora_vicina","M","Campus",4.48,"cold",3730,"Sep, 2025"
"2025_3","Calliphora_vicina","M","Campus",5.94,"cold",1509,"Sep, 2025"
"2025_11","Calliphora_vicina","M","Campus",4.3,"cold",1084,"Sep, 2025"
"2025_42","Calliphora_vicina","F","Campus",4.26,"cold",1160,"Oct, 2025"
"2025_44","Calliphora_vicina","F","Campus",4.4,"cold",2161,"Oct, 2025"
"2025_45","Calliphora_vicina","F","Campus",3.71,"cold",2120,"Oct, 2025"
"2025_46","Calliphora_vicina","F","Campus",3.67,"cold",1411,"Oct, 2025"
"2025_47","Calliphora_vicina","F","Campus",4.22,"cold",1099,"Oct, 2025"
"2025_48","Calliphora_vicina","F","Campus",3.91,"cold",1801,"Oct, 2025"
"2025_49","Calliphora_vicina","F","Campus",3.68,"cold",1429,"Oct, 2025"
"2025_51","Calliphora_vicina","F","Campus",3.94,"cold",2551,"Oct, 2025"
"2025_54","Calliphora_vicina","F","Campus",2.71,"cold",803,"Oct, 2025"
"2025_55","Calliphora_vicina","F","Campus",2.62,"cold",781,"Oct, 2025"
"2025_57","Calliphora_vicina","F","Campus",3.93,"cold",2377,"Oct, 2025"
"2025_58","Calliphora_vicina","F","Campus",2.69,"cold",1102,"Oct, 2025"
"2025_59","Calliphora_vicina","F","Campus",2.86,"cold",752,"Oct, 2025"
"2025_60","Calliphora_vicina","F","Campus",2.59,"cold",1443,"Oct, 2025"
"2025_43","Calliphora_vicina","M","Campus",4.07,"cold",2161,"Oct, 2025"
"2025_50","Calliphora_vicina","M","Campus",3.24,"cold",975,"Oct, 2025"
1,"Lucilia_sericata","F","Campus",4.549,"cold",384,"Dec, 2023"
3,"Lucilia_sericata","F","Campus",4.183,"cold",335,"Dec, 2023"
6,"Lucilia_sericata","F","Campus",3.657,"cold",457,"Dec, 2023"
9,"Lucilia_sericata","F","Campus",3.977,"cold",504,"Dec, 2023"
10,"Lucilia_sericata","F","Campus",3.699,"cold",316,"Dec, 2023"
11,"Lucilia_sericata","F","Campus",4.244,"cold",477,"Dec, 2023"
13,"Lucilia_sericata","F","Campus",3.886,"cold",360,"Dec, 2023"
17,"Lucilia_sericata","F","Campus",4.326,"cold",359,"Dec, 2023"
7,"Lucilia_sericata","M","Campus",3.881,"cold",288,"Dec, 2023"
19,"Lucilia_sericata","F","Campus",3.983,"cold",628,"Jan, 2024"
21,"Lucilia_sericata","F","Campus",2.906,"cold",354,"Jan, 2024"
24,"Lucilia_sericata","F","Campus",3.801,"cold",355,"Jan, 2024"
25,"Lucilia_sericata","F","Campus",3.108,"cold",420,"Jan, 2024"
28,"Lucilia_sericata","F","Campus",2.926,"cold",274,"Jan, 2024"
30,"Lucilia_sericata","F","Campus",3.683,"cold",557,"Jan, 2024"
32,"Lucilia_sericata","F","Campus",3.808,"cold",398,"Jan, 2024"
33,"Lucilia_sericata","F","Campus",4.282,"cold",441,"Jan, 2024"
37,"Lucilia_sericata","F","Campus",3.821,"cold",734,"Jan, 2024"
38,"Lucilia_sericata","F","Campus",4.021,"cold",616,"Jan, 2024"
39,"Lucilia_sericata","F","Campus",3.687,"cold",283,"Jan, 2024"
22,"Lucilia_sericata","M","Campus",4.197,"cold",291,"Jan, 2024"
26,"Lucilia_sericata","M","Campus",3.937,"cold",440,"Jan, 2024"
31,"Lucilia_sericata","M","Campus",3.438,"cold",561,"Jan, 2024"
36,"Lucilia_sericata","M","Campus",3.814,"cold",374,"Jan, 2024"
52,"Lucilia_sericata","F","Kaniwhaniwha",3.978,"cold",389,"Jan, 2024"
48,"Lucilia_sericata","M","Kaniwhaniwha",3.622,"cold",356,"Jan, 2024"
116,"Lucilia_sericata","F","Campus",3.862,"cold",358,"Feb, 2024"
121,"Lucilia_sericata","F","Campus",4.041,"cold",373,"Feb, 2024"
125,"Lucilia_sericata","F","Campus",4.157,"cold",296,"Feb, 2024"
126,"Lucilia_sericata","F","Campus",4.022,"cold",384,"Feb, 2024"
128,"Lucilia_sericata","F","Campus",3.781,"cold",399,"Feb, 2024"
129,"Lucilia_sericata","F","Campus",4.375,"cold",326,"Feb, 2024"
